"","City","Category","Profit","Sales","Segment","Order Date","Sub-Category"
"121","Wilmington","Office Supplies","$14","$31","Consumer",2016-02-06,"Binders"
"122","Wilmington","Office Supplies","$63","$227","Consumer",2016-02-06,"Storage"
"123","Wilmington","Office Supplies","$52","$115","Consumer",2016-02-06,"Envelopes"
"124","Wilmington","Technology","$20","$68","Consumer",2016-02-06,"Phones"
"125","Houston","Furniture","-$9","$601","Home Office",2014-02-12,"Chairs"
"126","Bloomington","Furniture","-$408","$618","Consumer",2014-02-09,"Tables"
"127","Phoenix","Office Supplies","-$2","$2","Consumer",2017-02-11,"Binders"
"128","Phoenix","Office Supplies","$30","$244","Consumer",2017-02-11,"Storage"
"129","Los Angeles","Furniture","-$9","$81","Home Office",2016-02-11,"Chairs"
"130","Los Angeles","Furniture","$26","$239","Home Office",2016-02-11,"Furnishings"
"131","Columbus","Technology","-$12","$60","Corporate",2017-02-02,"Phones"
"132","Columbus","Office Supplies","$29","$78","Corporate",2017-02-02,"Paper"
"133","Columbus","Office Supplies","$7","$21","Corporate",2017-02-02,"Fasteners"
"134","Roseville","Office Supplies","$10","$20","Consumer",2016-02-10,"Paper"
"135","Roseville","Office Supplies","$17","$35","Consumer",2016-02-10,"Paper"
"136","Roseville","Office Supplies","$3","$12","Consumer",2016-02-10,"Art"
"137","Roseville","Office Supplies","$2","$4","Consumer",2016-02-10,"Fasteners"
"138","Roseville","Office Supplies","$27","$76","Consumer",2016-02-10,"Binders"
"139","Roseville","Office Supplies","$18","$66","Consumer",2016-02-10,"Supplies"
"140","Roseville","Furniture","$21","$43","Consumer",2016-02-10,"Furnishings"
"141","Philadelphia","Furniture","$10","$83","Corporate",2016-02-09,"Furnishings"
"142","San Francisco","Office Supplies","$2","$9","Corporate",2017-02-09,"Art"
"143","San Francisco","Office Supplies","$5","$11","Corporate",2017-02-09,"Envelopes"
"144","San Francisco","Office Supplies","$69","$144","Corporate",2017-02-09,"Paper"
"145","Independence","Office Supplies","$218","$839","Consumer",2017-02-12,"Appliances"
"146","Pasadena","Office Supplies","$20","$672","Consumer",2015-02-09,"Storage"
"147","Newark","Furniture","$13","$94","Home Office",2014-02-10,"Furnishings"
"148","Franklin","Technology","$104","$384","Corporate",2016-02-12,"Phones"
"149","Franklin","Technology","$6","$150","Corporate",2016-02-12,"Phones"
"150","Franklin","Furniture","$586","$1,952","Corporate",2016-02-12,"Chairs"
"151","Franklin","Office Supplies","$81","$172","Corporate",2016-02-12,"Binders"
"152","Scottsdale","Office Supplies","$18","$158","Home Office",2016-02-03,"Appliances"
"153","Scottsdale","Technology","$15","$203","Home Office",2016-02-03,"Phones"
"154","San Jose","Office Supplies","$26","$58","Corporate",2015-02-05,"Paper"
"155","San Jose","Office Supplies","$49","$106","Corporate",2015-02-05,"Paper"
"156","San Jose","Office Supplies","$21","$81","Corporate",2015-02-05,"Storage"
"157","Seattle","Office Supplies","$2","$7","Home Office",2015-02-05,"Art"
"158","Seattle","Furniture","$51","$458","Consumer",2014-02-03,"Chairs"
"159","Edmond","Office Supplies","$7","$15","Consumer",2016-02-11,"Labels"
"160","Edmond","Technology","$236","$945","Consumer",2016-02-11,"Phones"
"161","Los Angeles","Office Supplies","$3","$6","Consumer",2016-02-05,"Paper"
"162","Philadelphia","Technology","$1","$54","Consumer",2015-02-12,"Accessories"
"163","Carlsbad","Office Supplies","$13","$28","Consumer",2016-02-11,"Envelopes"
"164","Seattle","Office Supplies","$10","$28","Consumer",2016-02-11,"Binders"
"165","San Antonio","Office Supplies","$3","$10","Consumer",2014-02-09,"Art"
"166","San Antonio","Technology","-$1,360","$8,160","Consumer",2014-02-09,"Machines"
"167","San Antonio","Office Supplies","-$59","$276","Consumer",2014-02-09,"Storage"
"168","San Antonio","Furniture","-$25","$1,740","Consumer",2014-02-09,"Chairs"
"169","San Antonio","Office Supplies","$7","$32","Consumer",2014-02-09,"Art"
"170","San Antonio","Office Supplies","-$454","$178","Consumer",2014-02-09,"Appliances"
"171","San Antonio","Technology","$9","$144","Consumer",2014-02-09,"Phones"
"172","Los Angeles","Office Supplies","$10","$21","Consumer",2014-02-08,"Paper"
"173","Los Angeles","Office Supplies","$53","$111","Consumer",2014-02-08,"Paper"
"174","Los Angeles","Furniture","$21","$340","Consumer",2014-02-08,"Chairs"
"175","Chicago","Office Supplies","-$131","$52","Corporate",2014-02-09,"Appliances"
"176","Chicago","Office Supplies","$7","$20","Corporate",2014-02-09,"Labels"
"177","Houston","Office Supplies","-$243","$97","Consumer",2017-02-04,"Appliances"
"178","Newark","Furniture","-$11","$397","Consumer",2015-02-11,"Chairs"
"179","Newark","Office Supplies","-$4","$16","Consumer",2015-02-11,"Supplies"
"180","New York City","Office Supplies","$1","$3","Home Office",2015-02-12,"Art"
"181","Decatur","Office Supplies","$2","$25","Corporate",2014-02-12,"Storage"
"182","Decatur","Technology",NA,NA,NA,2014-02-12,NA
"183","Monroe","Technology","$131","$504","Home Office",2014-02-11,"Phones"
"184","Monroe","Technology","$42","$150","Home Office",2014-02-11,"Phones"
"185","Monroe","Technology","$7","$29","Home Office",2014-02-11,"Accessories"
"186","Fairfield","Office Supplies","$3","$7","Consumer",2016-02-11,"Binders"
"187","Los Angeles","Technology","$23","$177","Home Office",2014-02-08,"Accessories"
"188","Grand Prairie","Office Supplies","$4","$37","Corporate",2016-02-07,"Storage"
"189","Grand Prairie","Office Supplies","$6","$20","Corporate",2016-02-07,"Paper"
"190","New York City","Furniture","$112","$899","Home Office",2015-02-10,"Bookcases"
"191","New York City","Technology","$20","$72","Home Office",2015-02-10,"Phones"
"192","New York City","Office Supplies","$25","$52","Home Office",2015-02-10,"Paper"
"193","New York City","Furniture","$47","$626","Home Office",2015-02-10,"Bookcases"
"194","New York City","Office Supplies","$7","$20","Home Office",2015-02-10,"Art"
"195","Redlands","Office Supplies","$7","$14","Corporate",2015-02-10,"Envelopes"
"196","Hamilton","Office Supplies","$1","$7","Consumer",2014-02-03,"Art"
"197","Hamilton","Office Supplies","$2","$6","Consumer",2014-02-03,"Art"
"198","Westfield","Office Supplies","$12","$46","Home Office",2017-02-11,"Storage"
"199","Philadelphia","Office Supplies","-$2","$3","Corporate",2017-02-07,"Binders"
"200","Philadelphia","Office Supplies","$6","$16","Corporate",2017-02-07,"Paper"
"201","Akron","Office Supplies","$7","$22","Consumer",2017-02-06,"Paper"
"202","Denver","Furniture","-$162","$219","Consumer",2014-02-08,"Tables"
"203","Denver","Office Supplies","$0","$3","Consumer",2014-02-08,"Appliances"
"204","Dallas","Office Supplies","-$179","$66","Consumer",2017-02-12,"Appliances"
"205","Franklin","Furniture","$10","$35","Corporate",2017-02-06,"Furnishings"
"206","Whittier","Technology","$44","$445","Consumer",2017-02-12,"Phones"
"207","Saginaw","Office Supplies","$6","$84","Consumer",2017-02-12,"Storage"
"208","Saginaw","Technology","$36","$132","Consumer",2017-02-12,"Phones"
"209","Saginaw","Office Supplies","$7","$16","Consumer",2017-02-12,"Binders"
"210","Saginaw","Office Supplies","$16","$52","Consumer",2017-02-12,"Fasteners"
"211","Saginaw","Office Supplies","$4","$92","Consumer",2017-02-12,"Storage"
"212","Dallas","Technology","$7","$21","Corporate",2015-02-02,"Accessories"
"213","Medina","Office Supplies","$9","$24","Corporate",2015-02-01,"Labels"
"214","Medina","Furniture","-$244","$452","Corporate",2015-02-01,"Bookcases"
"215","Medina","Technology","-$15","$63","Corporate",2015-02-01,"Phones"
"216","Medina","Technology","-$950","$1,188","Corporate",2015-02-01,"Machines"
"217","Medina","Technology","$4","$90","Corporate",2015-02-01,"Accessories"
"218","Los Angeles","Office Supplies","$26","$93","Consumer",2016-02-10,"Storage"
"219","Los Angeles","Technology","$23","$302","Consumer",2016-02-10,"Phones"
"220","Dublin","Office Supplies","$2","$6","Consumer",2015-02-12,"Fasteners"
"221","Dublin","Office Supplies","$8","$23","Consumer",2015-02-12,"Paper"
"222","Dublin","Office Supplies","-$14","$20","Consumer",2015-02-12,"Binders"
"223","Dublin","Furniture","$19","$73","Consumer",2015-02-12,"Furnishings"
"224","Dublin","Technology","-$384","$480","Consumer",2015-02-12,"Machines"
"225","Dublin","Office Supplies","$3","$27","Consumer",2015-02-12,"Art"
"226","Detroit","Office Supplies","$1","$2","Corporate",2015-02-08,"Art"
"227","Detroit","Furniture","$137","$622","Corporate",2015-02-08,"Tables"
"228","Detroit","Office Supplies","$0","$22","Corporate",2015-02-08,"Storage"
"229","Columbia","Furniture","-$28","$162","Consumer",2015-02-02,"Chairs"
"230","Columbia","Furniture","$44","$390","Consumer",2015-02-02,"Chairs"
"231","Charlotte","Office Supplies","-$12","$19","Corporate",2014-02-09,"Binders"
"232","Tampa","Furniture","-$102","$234","Home Office",2017-02-04,"Tables"
"233","Tampa","Furniture","-$248","$621","Home Office",2017-02-04,"Tables"
"234","Tampa","Office Supplies","-$4","$5","Home Office",2017-02-04,"Binders"
"235","Tampa","Furniture","$0","$258","Home Office",2017-02-04,"Furnishings"
"236","Tampa","Technology","-$8","$618","Home Office",2017-02-04,"Accessories"
"237","Santa Clara","Office Supplies","$5","$11","Corporate",2017-02-11,"Paper"
"238","Chicago","Office Supplies","$9","$26","Consumer",2016-02-06,"Paper"
"239","Chicago","Furniture","-$357","$420","Consumer",2016-02-06,"Furnishings"
"240","Chicago","Furniture","-$5","$12","Consumer",2016-02-06,"Furnishings"
"241","Chicago","Technology","$11","$32","Consumer",2016-02-06,"Phones"
"242","Chicago","Furniture","-$121","$177","Consumer",2016-02-06,"Tables"
"243","Chicago","Furniture","-$3","$4","Consumer",2016-02-06,"Furnishings"
"244","Chicago","Office Supplies","$1","$7","Consumer",2016-02-06,"Art"
"245","Lakeville","Furniture","$581","$2,002","Home Office",2014-02-06,"Chairs"
"246","Lakeville","Office Supplies","$42","$167","Home Office",2014-02-06,"Storage"
"247","Lakeville","Office Supplies","$24","$48","Home Office",2014-02-06,"Paper"
"248","Lakeville","Office Supplies","$496","$1,503","Home Office",2014-02-06,"Appliances"
"249","Lakeville","Office Supplies","$12","$26","Home Office",2014-02-06,"Paper"
"250","San Francisco","Furniture","$28","$322","Consumer",2016-02-12,"Chairs"
"251","San Diego","Office Supplies","$4","$8","Consumer",2016-02-09,"Paper"
"252","San Diego","Technology","$636","$3,347","Consumer",2016-02-09,"Accessories"
"253","New York City","Office Supplies","$23","$81","Consumer",2016-02-12,"Storage"
"254","New York City","Office Supplies","$163","$362","Consumer",2016-02-12,"Envelopes"
"255","Chicago","Furniture","-$8","$12","Corporate",2015-02-11,"Furnishings"
"256","Chicago","Office Supplies","-$20","$82","Corporate",2015-02-11,"Storage"
"257","Chicago","Office Supplies","$4","$54","Corporate",2015-02-11,"Storage"
"258","Chicago","Technology","$57","$648","Corporate",2015-02-11,"Phones"
"259","New York City","Technology","$7","$20","Consumer",2017-02-12,"Accessories"
"260","New York City","Office Supplies","$7","$222","Consumer",2017-02-12,"Storage"
"261","New York City","Office Supplies","$6","$18","Consumer",2017-02-12,"Binders"
"262","Pasadena","Office Supplies","-$4","$2","Corporate",2017-02-06,"Appliances"
"263","Houston","Technology","-$510","$3,060","Corporate",2014-02-09,"Machines"
"264","Houston","Technology","-$252","$2,520","Corporate",2014-02-09,"Machines"
"265","Chicago","Technology","$29","$328","Consumer",2016-02-06,"Phones"
"266","Brentwood","Technology","$35","$80","Consumer",2015-02-11,"Accessories"
"267","Chapel Hill","Office Supplies","$5","$14","Corporate",2017-02-06,"Art"
"268","Morristown","Office Supplies","$0","$8","Consumer",2016-02-01,"Fasteners"
"269","Cincinnati","Office Supplies","-$7","$37","Corporate",2017-02-12,"Storage"
"270","Cincinnati","Office Supplies","$22","$58","Corporate",2017-02-12,"Envelopes"
"271","San Francisco","Office Supplies","$210","$726","Corporate",2017-02-12,"Storage"
"272","San Francisco","Technology","$92","$210","Consumer",2015-02-07,"Accessories"
"273","San Francisco","Furniture","$2","$5","Consumer",2015-02-07,"Furnishings"
"274","San Francisco","Office Supplies","$4","$11","Consumer",2015-02-07,"Binders"
"275","Inglewood","Office Supplies","$4","$9","Corporate",2017-02-09,"Paper"
"276","Inglewood","Office Supplies","$2","$6","Corporate",2017-02-09,"Art"
"277","Philadelphia","Office Supplies","$4","$12","Corporate",2017-02-10,"Paper"
"278","Philadelphia","Office Supplies","$6","$18","Corporate",2017-02-10,"Paper"
"279","Philadelphia","Office Supplies","$6","$60","Corporate",2017-02-10,"Storage"
"280","Philadelphia","Office Supplies","$9","$25","Corporate",2017-02-10,"Labels"
"281","Houston","Office Supplies","-$3","$2","Consumer",2015-02-09,"Binders"
"282","Houston","Technology","$376","$1,114","Consumer",2015-02-09,"Phones"
"283","Los Angeles","Furniture","$52","$1,039","Consumer",2015-02-11,"Tables"
"284","Portland","Office Supplies","$48","$142","Consumer",2015-02-09,"Paper"
"285","Portland","Technology","$48","$240","Consumer",2015-02-09,"Accessories"
"286","Portland","Office Supplies","$11","$31","Consumer",2015-02-09,"Paper"
"287","Tamarac","Office Supplies","-$169","$254","Corporate",2016-02-12,"Binders"
"288","Tamarac","Office Supplies","$24","$195","Corporate",2016-02-12,"Appliances"
"289","Tamarac","Office Supplies","-$204","$961","Corporate",2016-02-12,"Supplies"
"290","Columbus","Office Supplies","$7","$19","Home Office",2016-02-11,"Fasteners"
"291","Columbus","Office Supplies","$6","$18","Home Office",2016-02-11,"Labels"
"292","Columbus","Technology","$54","$256","Home Office",2016-02-11,"Accessories"
"293","Columbus","Furniture","-$49","$87","Home Office",2016-02-11,"Bookcases"
"294","Colorado Springs","Furniture","$79","$300","Corporate",2014-02-12,"Furnishings"
"295","Colorado Springs","Furniture","$20","$230","Corporate",2014-02-12,"Chairs"
"296","Colorado Springs","Furniture","-$25","$218","Corporate",2014-02-12,"Furnishings"
"297","Colorado Springs","Office Supplies","-$63","$79","Corporate",2014-02-12,"Binders"
"298","Colorado Springs","Office Supplies","$9","$28","Corporate",2014-02-12,"Fasteners"
"299","Belleville","Office Supplies","$16","$32","Corporate",2016-02-10,"Paper"
"300","Belleville","Office Supplies","$11","$1,082","Corporate",2016-02-10,"Storage"
"301","Belleville","Office Supplies","$27","$57","Corporate",2016-02-10,"Paper"
"302","Belleville","Furniture","$38","$78","Corporate",2016-02-10,"Furnishings"
"303","Belleville","Office Supplies","$7","$14","Corporate",2016-02-10,"Binders"
"304","Chicago","Furniture","-$131","$219","Consumer",2017-02-11,"Tables"
"305","New York City","Furniture","$13","$27","Corporate",2015-02-05,"Furnishings"
"306","Taylor","Office Supplies","$3","$10","Corporate",2014-02-12,"Art"
"307","Lakewood","Office Supplies","$21","$45","Home Office",2014-02-06,"Binders"
"308","Lakewood","Office Supplies","$84","$289","Home Office",2014-02-06,"Art"
"309","Arlington","Office Supplies","$2","$5","Consumer",2017-02-04,"Art"
"310","Arvada","Furniture","$4","$15","Corporate",2016-02-09,"Furnishings"
"311","Arvada","Furniture","$53","$467","Corporate",2016-02-09,"Chairs"
"312","Arvada","Furniture","$2","$15","Corporate",2016-02-09,"Furnishings"
"313","Arvada","Office Supplies","$2","$6","Corporate",2016-02-09,"Labels"
"314","Hackensack","Furniture","$38","$88","Corporate",2014-02-09,"Furnishings"
"315","Saint Petersburg","Technology","$22","$178","Corporate",2014-02-08,"Phones"
"316","Saint Petersburg","Office Supplies","$5","$16","Corporate",2014-02-08,"Paper"
"317","Philadelphia","Office Supplies","$9","$99","Corporate",2014-02-12,"Art"
"318","New York City","Furniture","$24","$136","Home Office",2014-02-11,"Chairs"
"319","New York City","Technology","$1,996","$3,992","Home Office",2014-02-11,"Machines"
"320","New York City","Technology","$80","$276","Home Office",2014-02-11,"Phones"
"321","New York City","Technology","$130","$360","Home Office",2014-02-11,"Accessories"
"322","New York City","Office Supplies","$13","$44","Home Office",2014-02-11,"Storage"
"323","Long Beach","Office Supplies","$4","$7","Corporate",2014-02-09,"Fasteners"
"324","Hesperia","Office Supplies","$82","$252","Corporate",2016-02-04,"Binders"
"325","Hesperia","Technology","$35","$100","Corporate",2016-02-04,"Accessories"
"326","Murfreesboro","Furniture","$1","$16","Corporate",2017-02-11,"Furnishings"
"327","Philadelphia","Technology","-$68","$291","Consumer",2016-02-08,"Phones"
"328","Philadelphia","Office Supplies","$3","$54","Consumer",2016-02-08,"Storage"
"329","Philadelphia","Furniture","-$259","$787","Consumer",2016-02-08,"Chairs"
"330","Philadelphia","Office Supplies","$34","$100","Consumer",2016-02-08,"Labels"
"331","Philadelphia","Office Supplies","-$28","$38","Consumer",2016-02-08,"Binders"
"332","Philadelphia","Technology","-$21","$83","Consumer",2016-02-04,"Phones"
"333","Philadelphia","Office Supplies","-$14","$21","Consumer",2016-02-04,"Binders"
"334","Philadelphia","Office Supplies","-$3","$5","Consumer",2016-02-04,"Binders"
"335","Los Angeles","Office Supplies","$2","$5","Consumer",2015-02-09,"Binders"
"336","Los Angeles","Technology","$336","$960","Consumer",2015-02-09,"Copiers"
"337","Los Angeles","Office Supplies","$4","$14","Consumer",2015-02-09,"Binders"
"338","San Francisco","Office Supplies","$3","$8","Corporate",2014-02-07,"Binders"
"339","San Francisco","Furniture","-$17","$698","Corporate",2014-02-07,"Tables"
"340","Layton","Office Supplies","$2","$5","Consumer",2015-02-06,"Fasteners"
"341","Philadelphia","Office Supplies","$1","$18","Corporate",2014-02-04,"Art"
"342","Philadelphia","Office Supplies","-$408","$510","Corporate",2014-02-04,"Binders"
"343","Philadelphia","Office Supplies","$10","$31","Corporate",2014-02-04,"Fasteners"
"344","Philadelphia","Technology","$8","$72","Corporate",2014-02-04,"Phones"
"345","Austin","Office Supplies","-$2","$89","Consumer",2015-02-12,"Storage"
"346","San Francisco","Technology","$5","$48","Consumer",2017-02-06,"Phones"
"347","Lowell","Office Supplies","$3","$8","Consumer",2017-02-07,"Art"
"348","Lowell","Office Supplies","$12","$25","Consumer",2017-02-07,"Paper"
"349","Lowell","Office Supplies","$4","$13","Consumer",2017-02-07,"Art"
"350","New York City","Technology","$2","$7","Home Office",2016-02-09,"Accessories"
"351","New York City","Office Supplies","$12","$25","Home Office",2016-02-09,"Paper"
"352","New York City","Office Supplies","$1","$3","Home Office",2016-02-09,"Binders"
"353","New York City","Office Supplies","$23","$49","Home Office",2016-02-09,"Paper"
"354","New York City","Office Supplies","$1,415","$4,355","Home Office",2016-02-09,"Binders"
