"","City","Category","Profit","Sales","Segment"
"45","Eagan","Technology","$20","$46","Corporate"
"46","Eagan","Office Supplies","$8","$17","Corporate"
"47","Westland","Office Supplies","$8","$212","Consumer"
"48","Dover","Technology","$5","$45","Consumer"
"49","Dover","Technology","$6","$22","Consumer"
"50","New Albany","Office Supplies","$18","$38","Consumer"
"51","New Albany","Office Supplies","$35","$75","Consumer"
"52","New Albany","Furniture","$3","$6","Consumer"
"53","New Albany","Furniture","$17","$90","Consumer"
"54","New York City","Office Supplies","$6","$15","Corporate"
"55","New York City","Technology","$299","$1,030","Corporate"
"56","Troy","Office Supplies","$52","$209","Consumer"
"57","Troy","Office Supplies","$16","$32","Consumer"
"58","Troy","Furniture","$7","$319","Consumer"
"59","Troy","Office Supplies","$7","$15","Consumer"
"60","Troy","Technology","$3","$30","Consumer"
"61","Troy","Office Supplies","$16","$48","Consumer"
"62","Troy","Office Supplies","$1","$2","Consumer"
"63","Los Angeles","Technology","$6","$14","Consumer"
"64","Los Angeles","Office Supplies","$9","$26","Consumer"
"65","Los Angeles","Office Supplies","$69","$147","Consumer"
"66","Los Angeles","Furniture","$22","$80","Consumer"
"67","Chicago","Furniture","-$15","$213","Home Office"
"68","Gilbert","Office Supplies","$111","$1,113","Corporate"
"69","Gilbert","Technology","$63","$168","Corporate"
"70","Springfield","Office Supplies","$36","$76","Consumer"
"71","New York City","Office Supplies","$2","$5","Consumer"
"72","Jackson","Office Supplies","$9","$19","Consumer"
"73","Memphis","Furniture","-$114","$832","Consumer"
"74","Memphis","Furniture","$1","$97","Consumer"
"75","Memphis","Office Supplies","-$18","$73","Consumer"
"76","Houston","Office Supplies","-$2","$1","Corporate"
"77","Houston","Furniture","-$6","$10","Corporate"
"78","Houston","Office Supplies","$3","$27","Corporate"
"79","Houston","Furniture","-$14","$19","Consumer"
"80","Decatur","Office Supplies","$56","$208","Corporate"
"81","Decatur","Office Supplies","$8","$17","Corporate"
"82","San Francisco","Office Supplies","$4","$15","Consumer"
"83","San Francisco","Office Supplies","$6","$21","Consumer"
"84","Durham","Office Supplies","$63","$201","Corporate"
"85","Chicago","Office Supplies","-$49","$230","Home Office"
"86","Columbia","Furniture","$33","$302","Consumer"
"87","Rochester","Technology","$7","$20","Consumer"
"88","Rochester","Office Supplies","$3","$6","Consumer"
"89","Houston","Office Supplies","$14","$158","Home Office"
"90","Los Angeles","Office Supplies","$7","$20","Corporate"
"91","Los Angeles","Technology","$8","$74","Corporate"
"92","Los Angeles","Office Supplies","$3","$6","Corporate"
"93","Minneapolis","Office Supplies","$6","$13","Consumer"
"94","Minneapolis","Furniture","$17","$53","Consumer"
"95","Minneapolis","Office Supplies","$16","$33","Consumer"
"96","Portland","Office Supplies","-$4","$6","Home Office"
"97","New York City","Furniture","$41","$97","Home Office"
"98","San Francisco","Office Supplies","$18","$51","Consumer"
"99","Saint Paul","Office Supplies","$23","$78","Corporate"
"100","Chicago","Office Supplies","$23","$65","Home Office"
"101","Chicago","Technology","-$11","$96","Home Office"
"102","Chicago","Office Supplies","-$3","$2","Home Office"
"103","Rochester","Office Supplies","$12","$24","Consumer"
"104","Aurora","Technology","-$27","$239","Consumer"
"105","Aurora","Furniture","-$4","$102","Consumer"
"106","Aurora","Office Supplies","-$26","$37","Consumer"
"107","Charlotte","Technology","$18","$74","Consumer"
"108","Charlotte","Technology","$2","$28","Consumer"
"109","Charlotte","Office Supplies","$1","$3","Consumer"
"110","Orland Park","Technology","$68","$340","Home Office"
"111","New York City","Furniture","$11","$42","Corporate"
"112","Urbandale","Office Supplies","$23","$76","Consumer"
"113","Urbandale","Office Supplies","$13","$27","Consumer"
"114","Columbus","Office Supplies","$15","$40","Consumer"
"115","Columbus","Office Supplies","$2","$5","Consumer"
"116","Columbus","Office Supplies","$7","$24","Consumer"
"117","Columbus","Office Supplies","$44","$130","Consumer"
"118","Seattle","Furniture","$165","$788","Consumer"
"119","Bristol","Office Supplies","-$116","$158","Corporate"
"120","Wilmington","Furniture","$18","$47","Consumer"
"121","Wilmington","Office Supplies","$14","$31","Consumer"
"122","Wilmington","Office Supplies","$63","$227","Consumer"
"123","Wilmington","Office Supplies","$52","$115","Consumer"
"124","Wilmington","Technology","$20","$68","Consumer"
"125","Houston","Furniture","-$9","$601","Home Office"
"126","Bloomington","Furniture","-$408","$618","Consumer"
"127","Phoenix","Office Supplies","-$2","$2","Consumer"
"128","Phoenix","Office Supplies","$30","$244","Consumer"
"129","Los Angeles","Furniture","-$9","$81","Home Office"
"130","Los Angeles","Furniture","$26","$239","Home Office"
"131","Columbus","Technology","-$12","$60","Corporate"
"132","Columbus","Office Supplies","$29","$78","Corporate"
"133","Columbus","Office Supplies","$7","$21","Corporate"
"134","Roseville","Office Supplies","$10","$20","Consumer"
"135","Roseville","Office Supplies","$17","$35","Consumer"
"136","Roseville","Office Supplies","$3","$12","Consumer"
"137","Roseville","Office Supplies","$2","$4","Consumer"
"138","Roseville","Office Supplies","$27","$76","Consumer"
"139","Roseville","Office Supplies","$18","$66","Consumer"
"140","Roseville","Furniture","$21","$43","Consumer"
"141","Philadelphia","Furniture","$10","$83","Corporate"
"142","San Francisco","Office Supplies","$2","$9","Corporate"
"143","San Francisco","Office Supplies","$5","$11","Corporate"
"144","San Francisco","Office Supplies","$69","$144","Corporate"
"145","Independence","Office Supplies","$218","$839","Consumer"
"146","Pasadena","Office Supplies","$20","$672","Consumer"
"147","Newark","Furniture","$13","$94","Home Office"
"148","Franklin","Technology","$104","$384","Corporate"
"149","Franklin","Technology","$6","$150","Corporate"
"150","Franklin","Furniture","$586","$1,952","Corporate"
"151","Franklin","Office Supplies","$81","$172","Corporate"
"152","Scottsdale","Office Supplies","$18","$158","Home Office"
"153","Scottsdale","Technology","$15","$203","Home Office"
"154","San Jose","Office Supplies","$26","$58","Corporate"
"155","San Jose","Office Supplies","$49","$106","Corporate"
"156","San Jose","Office Supplies","$21","$81","Corporate"
"157","Seattle","Office Supplies","$2","$7","Home Office"
"158","Seattle","Furniture","$51","$458","Consumer"
"159","Edmond","Office Supplies","$7","$15","Consumer"
"160","Edmond","Technology","$236","$945","Consumer"
"161","Los Angeles","Office Supplies","$3","$6","Consumer"
"162","Philadelphia","Technology","$1","$54","Consumer"
"163","Carlsbad","Office Supplies","$13","$28","Consumer"
"164","Seattle","Office Supplies","$10","$28","Consumer"
"165","San Antonio","Office Supplies","$3","$10","Consumer"
"166","San Antonio","Technology","-$1,360","$8,160","Consumer"
"167","San Antonio","Office Supplies","-$59","$276","Consumer"
"168","San Antonio","Furniture","-$25","$1,740","Consumer"
"169","San Antonio","Office Supplies","$7","$32","Consumer"
"170","San Antonio","Office Supplies","-$454","$178","Consumer"
"171","San Antonio","Technology","$9","$144","Consumer"
"172","Los Angeles","Office Supplies","$10","$21","Consumer"
"173","Los Angeles","Office Supplies","$53","$111","Consumer"
"174","Los Angeles","Furniture","$21","$340","Consumer"
"175","Chicago","Office Supplies","-$131","$52","Corporate"
"176","Chicago","Office Supplies","$7","$20","Corporate"
"177","Houston","Office Supplies","-$243","$97","Consumer"
"178","Newark","Furniture","-$11","$397","Consumer"
"179","Newark","Office Supplies","-$4","$16","Consumer"
"180","New York City","Office Supplies","$1","$3","Home Office"
"181","Decatur","Office Supplies","$2","$25","Corporate"
"182","Decatur","Technology",NA,NA,NA
"183","Monroe","Technology","$131","$504","Home Office"
"184","Monroe","Technology","$42","$150","Home Office"
"185","Monroe","Technology","$7","$29","Home Office"
"186","Fairfield","Office Supplies","$3","$7","Consumer"
"187","Los Angeles","Technology","$23","$177","Home Office"
"188","Grand Prairie","Office Supplies","$4","$37","Corporate"
"189","Grand Prairie","Office Supplies","$6","$20","Corporate"
"190","New York City","Furniture","$112","$899","Home Office"
"191","New York City","Technology","$20","$72","Home Office"
"192","New York City","Office Supplies","$25","$52","Home Office"
"193","New York City","Furniture","$47","$626","Home Office"
"194","New York City","Office Supplies","$7","$20","Home Office"
"195","Redlands","Office Supplies","$7","$14","Corporate"
"196","Hamilton","Office Supplies","$1","$7","Consumer"
"197","Hamilton","Office Supplies","$2","$6","Consumer"
"198","Westfield","Office Supplies","$12","$46","Home Office"
"199","Philadelphia","Office Supplies","-$2","$3","Corporate"
"200","Philadelphia","Office Supplies","$6","$16","Corporate"
"201","Akron","Office Supplies","$7","$22","Consumer"
"202","Denver","Furniture","-$162","$219","Consumer"
"203","Denver","Office Supplies","$0","$3","Consumer"
"204","Dallas","Office Supplies","-$179","$66","Consumer"
"205","Franklin","Furniture","$10","$35","Corporate"
"206","Whittier","Technology","$44","$445","Consumer"
"207","Saginaw","Office Supplies","$6","$84","Consumer"
"208","Saginaw","Technology","$36","$132","Consumer"
"209","Saginaw","Office Supplies","$7","$16","Consumer"
"210","Saginaw","Office Supplies","$16","$52","Consumer"
"211","Saginaw","Office Supplies","$4","$92","Consumer"
"212","Dallas","Technology","$7","$21","Corporate"
"213","Medina","Office Supplies","$9","$24","Corporate"
"214","Medina","Furniture","-$244","$452","Corporate"
"215","Medina","Technology","-$15","$63","Corporate"
"216","Medina","Technology","-$950","$1,188","Corporate"
"217","Medina","Technology","$4","$90","Corporate"
"218","Los Angeles","Office Supplies","$26","$93","Consumer"
"219","Los Angeles","Technology","$23","$302","Consumer"
"220","Dublin","Office Supplies","$2","$6","Consumer"
"221","Dublin","Office Supplies","$8","$23","Consumer"
"222","Dublin","Office Supplies","-$14","$20","Consumer"
"223","Dublin","Furniture","$19","$73","Consumer"
"224","Dublin","Technology","-$384","$480","Consumer"
"225","Dublin","Office Supplies","$3","$27","Consumer"
"226","Detroit","Office Supplies","$1","$2","Corporate"
"227","Detroit","Furniture","$137","$622","Corporate"
"228","Detroit","Office Supplies","$0","$22","Corporate"
"229","Columbia","Furniture","-$28","$162","Consumer"
"230","Columbia","Furniture","$44","$390","Consumer"
"231","Charlotte","Office Supplies","-$12","$19","Corporate"
"232","Tampa","Furniture","-$102","$234","Home Office"
"233","Tampa","Furniture","-$248","$621","Home Office"
"234","Tampa","Office Supplies","-$4","$5","Home Office"
"235","Tampa","Furniture","$0","$258","Home Office"
"236","Tampa","Technology","-$8","$618","Home Office"
"237","Santa Clara","Office Supplies","$5","$11","Corporate"
"238","Chicago","Office Supplies","$9","$26","Consumer"
"239","Chicago","Furniture","-$357","$420","Consumer"
"240","Chicago","Furniture","-$5","$12","Consumer"
"241","Chicago","Technology","$11","$32","Consumer"
"242","Chicago","Furniture","-$121","$177","Consumer"
"243","Chicago","Furniture","-$3","$4","Consumer"
"244","Chicago","Office Supplies","$1","$7","Consumer"
"245","Lakeville","Furniture","$581","$2,002","Home Office"
"246","Lakeville","Office Supplies","$42","$167","Home Office"
"247","Lakeville","Office Supplies","$24","$48","Home Office"
"248","Lakeville","Office Supplies","$496","$1,503","Home Office"
"249","Lakeville","Office Supplies","$12","$26","Home Office"
"250","San Francisco","Furniture","$28","$322","Consumer"
"251","San Diego","Office Supplies","$4","$8","Consumer"
"252","San Diego","Technology","$636","$3,347","Consumer"
"253","New York City","Office Supplies","$23","$81","Consumer"
"254","New York City","Office Supplies","$163","$362","Consumer"
"255","Chicago","Furniture","-$8","$12","Corporate"
"256","Chicago","Office Supplies","-$20","$82","Corporate"
"257","Chicago","Office Supplies","$4","$54","Corporate"
"258","Chicago","Technology","$57","$648","Corporate"
"259","New York City","Technology","$7","$20","Consumer"
"260","New York City","Office Supplies","$7","$222","Consumer"
"261","New York City","Office Supplies","$6","$18","Consumer"
"262","Pasadena","Office Supplies","-$4","$2","Corporate"
"263","Houston","Technology","-$510","$3,060","Corporate"
"264","Houston","Technology","-$252","$2,520","Corporate"
"265","Chicago","Technology","$29","$328","Consumer"
"266","Brentwood","Technology","$35","$80","Consumer"
"267","Chapel Hill","Office Supplies","$5","$14","Corporate"
"268","Morristown","Office Supplies","$0","$8","Consumer"
"269","Cincinnati","Office Supplies","-$7","$37","Corporate"
"270","Cincinnati","Office Supplies","$22","$58","Corporate"
"271","San Francisco","Office Supplies","$210","$726","Corporate"
"272","San Francisco","Technology","$92","$210","Consumer"
"273","San Francisco","Furniture","$2","$5","Consumer"
"274","San Francisco","Office Supplies","$4","$11","Consumer"
"275","Inglewood","Office Supplies","$4","$9","Corporate"
"276","Inglewood","Office Supplies","$2","$6","Corporate"
"277","Philadelphia","Office Supplies","$4","$12","Corporate"
"278","Philadelphia","Office Supplies","$6","$18","Corporate"
"279","Philadelphia","Office Supplies","$6","$60","Corporate"
"280","Philadelphia","Office Supplies","$9","$25","Corporate"
"281","Houston","Office Supplies","-$3","$2","Consumer"
"282","Houston","Technology","$376","$1,114","Consumer"
"283","Los Angeles","Furniture","$52","$1,039","Consumer"
"284","Portland","Office Supplies","$48","$142","Consumer"
"285","Portland","Technology","$48","$240","Consumer"
"286","Portland","Office Supplies","$11","$31","Consumer"
"287","Tamarac","Office Supplies","-$169","$254","Corporate"
"288","Tamarac","Office Supplies","$24","$195","Corporate"
"289","Tamarac","Office Supplies","-$204","$961","Corporate"
"290","Columbus","Office Supplies","$7","$19","Home Office"
"291","Columbus","Office Supplies","$6","$18","Home Office"
"292","Columbus","Technology","$54","$256","Home Office"
"293","Columbus","Furniture","-$49","$87","Home Office"
"294","Colorado Springs","Furniture","$79","$300","Corporate"
"295","Colorado Springs","Furniture","$20","$230","Corporate"
"296","Colorado Springs","Furniture","-$25","$218","Corporate"
"297","Colorado Springs","Office Supplies","-$63","$79","Corporate"
"298","Colorado Springs","Office Supplies","$9","$28","Corporate"
"299","Belleville","Office Supplies","$16","$32","Corporate"
"300","Belleville","Office Supplies","$11","$1,082","Corporate"
"301","Belleville","Office Supplies","$27","$57","Corporate"
"302","Belleville","Furniture","$38","$78","Corporate"
"303","Belleville","Office Supplies","$7","$14","Corporate"
"304","Chicago","Furniture","-$131","$219","Consumer"
"305","New York City","Furniture","$13","$27","Corporate"
"306","Taylor","Office Supplies","$3","$10","Corporate"
"307","Lakewood","Office Supplies","$21","$45","Home Office"
"308","Lakewood","Office Supplies","$84","$289","Home Office"
"309","Arlington","Office Supplies","$2","$5","Consumer"
"310","Arvada","Furniture","$4","$15","Corporate"
"311","Arvada","Furniture","$53","$467","Corporate"
"312","Arvada","Furniture","$2","$15","Corporate"
"313","Arvada","Office Supplies","$2","$6","Corporate"
"314","Hackensack","Furniture","$38","$88","Corporate"
"315","Saint Petersburg","Technology","$22","$178","Corporate"
"316","Saint Petersburg","Office Supplies","$5","$16","Corporate"
"317","Philadelphia","Office Supplies","$9","$99","Corporate"
"318","New York City","Furniture","$24","$136","Home Office"
"319","New York City","Technology","$1,996","$3,992","Home Office"
"320","New York City","Technology","$80","$276","Home Office"
"321","New York City","Technology","$130","$360","Home Office"
"322","New York City","Office Supplies","$13","$44","Home Office"
"323","Long Beach","Office Supplies","$4","$7","Corporate"
"324","Hesperia","Office Supplies","$82","$252","Corporate"
"325","Hesperia","Technology","$35","$100","Corporate"
"326","Murfreesboro","Furniture","$1","$16","Corporate"
"327","Philadelphia","Technology","-$68","$291","Consumer"
"328","Philadelphia","Office Supplies","$3","$54","Consumer"
"329","Philadelphia","Furniture","-$259","$787","Consumer"
"330","Philadelphia","Office Supplies","$34","$100","Consumer"
"331","Philadelphia","Office Supplies","-$28","$38","Consumer"
"332","Philadelphia","Technology","-$21","$83","Consumer"
"333","Philadelphia","Office Supplies","-$14","$21","Consumer"
"334","Philadelphia","Office Supplies","-$3","$5","Consumer"
"335","Los Angeles","Office Supplies","$2","$5","Consumer"
"336","Los Angeles","Technology","$336","$960","Consumer"
"337","Los Angeles","Office Supplies","$4","$14","Consumer"
"338","San Francisco","Office Supplies","$3","$8","Corporate"
"339","San Francisco","Furniture","-$17","$698","Corporate"
"340","Layton","Office Supplies","$2","$5","Consumer"
"341","Philadelphia","Office Supplies","$1","$18","Corporate"
"342","Philadelphia","Office Supplies","-$408","$510","Corporate"
"343","Philadelphia","Office Supplies","$10","$31","Corporate"
"344","Philadelphia","Technology","$8","$72","Corporate"
"345","Austin","Office Supplies","-$2","$89","Consumer"
"346","San Francisco","Technology","$5","$48","Consumer"
"347","Lowell","Office Supplies","$3","$8","Consumer"
"348","Lowell","Office Supplies","$12","$25","Consumer"
"349","Lowell","Office Supplies","$4","$13","Consumer"
"350","New York City","Technology","$2","$7","Home Office"
"351","New York City","Office Supplies","$12","$25","Home Office"
"352","New York City","Office Supplies","$1","$3","Home Office"
"353","New York City","Office Supplies","$23","$49","Home Office"
"354","New York City","Office Supplies","$1,415","$4,355","Home Office"
"355","New York City","Furniture","-$5","$389","Consumer"
"356","New York City","Office Supplies","$4","$8","Consumer"
"357","New York City","Office Supplies","$7","$17","Consumer"
"358","New York City","Office Supplies","$16","$34","Consumer"
"359","Charlotte","Office Supplies","$11","$36","Corporate"
"360","Columbus","Office Supplies","$168","$648","Corporate"
"361","Columbus","Office Supplies","$10","$21","Corporate"
"362","New York City","Office Supplies","$10","$21","Consumer"
"363","New York City","Furniture","$87","$489","Consumer"
"364","New York City","Office Supplies","$1","$6","Consumer"
"365","New York City","Furniture","$21","$47","Consumer"
"366","San Francisco","Office Supplies","$8","$212","Consumer"
"367","Manchester","Office Supplies","$10","$23","Corporate"
"368","Manchester","Office Supplies","$0","$7","Corporate"
"369","Manchester","Office Supplies","$29","$105","Corporate"
"370","Manchester","Furniture","$271","$1,044","Corporate"
"371","Harlingen","Office Supplies","$9","$26","Consumer"
"372","Harlingen","Office Supplies","$5","$53","Consumer"
"373","Tucson","Office Supplies","-$6","$8","Consumer"
"374","Tucson","Technology","$179","$1,024","Consumer"
"375","Tucson","Office Supplies","$1","$9","Consumer"
"376","Tucson","Technology","-$30","$479","Consumer"
"377","Quincy","Office Supplies","$31","$99","Corporate"
"378","Franklin","Furniture","-$298","$1,488","Corporate"
"379","Houston","Office Supplies","-$20","$9","Consumer"
"380","Houston","Office Supplies","$3","$24","Consumer"
"381","Houston","Office Supplies","-$19","$12","Consumer"
"382","San Francisco","Office Supplies","$25","$51","Corporate"
"383","San Francisco","Office Supplies","$17","$50","Corporate"
"384","Taylor","Technology","$9","$42","Corporate"
"385","Pembroke Pines","Furniture","-$157","$375","Consumer"
"386","Pembroke Pines","Technology","-$1","$84","Consumer"
"387","Philadelphia","Technology","-$338","$482","Corporate"
"388","Philadelphia","Furniture","$1","$3","Corporate"
"389","Cincinnati","Office Supplies","$0","$3","Consumer"
"390","New York City","Office Supplies","$8","$23","Consumer"
"391","New York City","Technology","$14","$40","Consumer"
"392","Des Moines","Technology","$28","$246","Consumer"
"393","Des Moines","Technology","$702","$1,800","Consumer"
"394","Peoria","Office Supplies","-$21","$12","Corporate"
"395","Las Vegas","Office Supplies","$26","$76","Home Office"
"396","Warwick","Office Supplies","$9","$50","Corporate"
"397","Warwick","Office Supplies","$6","$13","Corporate"
"398","Jackson","Office Supplies","$21","$70","Home Office"
"399","Houston","Office Supplies","$4","$36","Consumer"
"400","Houston","Furniture","-$317","$2,396","Consumer"
"401","Houston","Office Supplies","-$33","$131","Consumer"
"402","Houston","Technology","$1","$58","Consumer"
"403","Miami","Office Supplies","$3","$10","Consumer"
"404","Wilmington","Office Supplies","$10","$39","Corporate"
"405","New York City","Office Supplies","$10","$36","Consumer"
"406","San Francisco","Technology","$38","$180","Consumer"
"407","San Francisco","Technology","$435","$1,200","Consumer"
"408","San Francisco","Office Supplies","$13","$27","Consumer"
"409","San Francisco","Furniture","-$113","$1,004","Consumer"
"410","San Francisco","Office Supplies","$5","$10","Consumer"
"411","San Francisco","Office Supplies","$14","$28","Consumer"
"412","San Francisco","Office Supplies","$27","$56","Consumer"
"413","San Francisco","Furniture","$31","$1,337","Consumer"
"414","San Francisco","Furniture","-$18","$114","Consumer"
"415","Seattle","Office Supplies","$66","$140","Corporate"
"416","Seattle","Furniture","$27","$307","Corporate"
"417","Huntington Beach","Office Supplies","$26","$96","Consumer"
"418","Los Angeles","Furniture","$38","$384","Consumer"
"419","Richmond","Office Supplies","$3","$6","Corporate"
"420","Los Angeles","Office Supplies","$3","$9","Corporate"
"421","Los Angeles","Office Supplies","$7","$15","Corporate"
"422","Louisville","Technology","$57","$197","Consumer"
"423","Lawrence","Furniture","$15","$57","Corporate"
"424","Lawrence","Office Supplies","$9","$33","Corporate"
"425","Jackson","Furniture","$225","$866","Consumer"
"426","Canton","Furniture","$11","$28","Corporate"
"427","Canton","Office Supplies","$138","$288","Corporate"
"428","New Rochelle","Technology","$30","$70","Home Office"
"429","San Antonio","Office Supplies","$1","$7","Corporate"
"430","Gastonia","Office Supplies","-$145","$190","Home Office"
"431","Gastonia","Technology",NA,NA,NA
"432","Gastonia","Technology",NA,NA,NA
"433","Gastonia","Office Supplies","-$1","$5","Home Office"
"434","Lowell","Office Supplies","$207","$714","Consumer"
"435","Jacksonville","Office Supplies","-$4","$5","Consumer"
"436","Jacksonville","Technology","-$19","$248","Consumer"
"437","Chicago","Technology","$43","$1,008","Home Office"
"438","Chicago","Office Supplies","$114","$313","Home Office"
"439","Houston","Office Supplies","$12","$32","Corporate"
"440","New York City","Furniture","$2","$208","Corporate"
"441","Detroit","Furniture","$4","$12","Consumer"
"442","Detroit","Office Supplies","$23","$195","Consumer"
"443","Detroit","Office Supplies","$21","$71","Consumer"
"444","Detroit","Office Supplies","$42","$91","Consumer"
"445","Detroit","Furniture","$29","$243","Consumer"
"446","Detroit","Office Supplies","$11","$22","Consumer"
"447","Columbus","Furniture","$1","$3","Consumer"
"448","Auburn","Office Supplies","$15","$60","Consumer"
"449","Auburn","Office Supplies","$10","$162","Consumer"
"450","Auburn","Office Supplies","$71","$264","Consumer"
"451","Auburn","Office Supplies","$8","$30","Consumer"
"452","Auburn","Office Supplies","$3","$10","Consumer"
"453","Auburn","Technology","$9","$35","Consumer"
"454","Akron","Furniture","-$76","$284","Corporate"
"455","Akron","Office Supplies","$67","$665","Corporate"
"456","Norman","Technology","$25","$64","Corporate"
"457","Concord","Furniture","-$24","$130","Consumer"
"458","Decatur","Furniture","-$96","$748","Consumer"
"459","Decatur","Office Supplies","$3","$9","Consumer"
"460","Seattle","Office Supplies","$36","$104","Consumer"
"461","Seattle","Technology","$378","$900","Consumer"
"462","Seattle","Office Supplies","$19","$51","Consumer"
"463","Phoenix","Furniture","$7","$24","Home Office"
"464","Phoenix","Furniture","-$814","$1,273","Home Office"
"465","Phoenix","Office Supplies","-$21","$28","Home Office"
"466","Phoenix","Office Supplies","-$35","$185","Home Office"
"467","Phoenix","Office Supplies","$6","$78","Home Office"
"468","Park Ridge","Furniture","-$312","$255","Home Office"
"469","Amarillo","Furniture","-$36","$205","Corporate"
"470","Chicago","Office Supplies","-$8","$5","Consumer"
"471","Lindenhurst","Office Supplies","$27","$55","Corporate"
"472","San Francisco","Office Supplies","$3","$341","Consumer"
"473","San Francisco","Furniture","$10","$223","Consumer"
"474","San Francisco","Technology","$88","$704","Consumer"
"475","San Francisco","Office Supplies","$25","$93","Consumer"
"476","San Francisco","Office Supplies","$29","$63","Consumer"
"477","San Francisco","Office Supplies","$46","$95","Consumer"
"478","Los Angeles","Technology","$7","$96","Corporate"
"479","Troy","Furniture","$19","$40","Consumer"
"480","New York City","Office Supplies","$7","$15","Corporate"
"481","New York City","Office Supplies","$85","$704","Corporate"
"482","San Diego","Technology","$2","$9","Consumer"
"483","New York City","Office Supplies","$2","$6","Consumer"
"484","New York City","Technology","$58","$160","Consumer"
"485","Los Angeles","Office Supplies","$15","$30","Home Office"
"486","Los Angeles","Furniture","-$30","$514","Home Office"
"487","Los Angeles","Technology","$17","$280","Home Office"
"488","Chicago","Technology","$342","$2,736","Consumer"
"489","Huntsville","Technology","$1","$8","Home Office"
"490","Huntsville","Technology","$10","$64","Home Office"
"491","Huntsville","Office Supplies","$6","$70","Home Office"
"492","Rochester","Office Supplies","$9","$449","Consumer"
"493","Rochester","Office Supplies","$5","$11","Consumer"
"494","Seattle","Technology","$13","$94","Consumer"
"495","Memphis","Furniture","-$95","$190","Consumer"
"496","Fayetteville","Office Supplies","$52","$105","Consumer"
"497","Costa Mesa","Office Supplies","$40","$120","Consumer"
"498","Costa Mesa","Furniture","$82","$256","Consumer"
"499","Costa Mesa","Furniture","$18","$242","Consumer"
"500","Costa Mesa","Furniture","$23","$69","Consumer"
"501","Parker","Office Supplies","-$15","$23","Corporate"
"502","Parker","Office Supplies","-$12","$15","Corporate"
"503","Parker","Furniture","$50","$802","Corporate"
"504","Parker","Office Supplies","-$2","$2","Corporate"
"505","Parker","Office Supplies","$12","$33","Corporate"
"506","New York City","Office Supplies","$5","$16","Corporate"
"507","Atlanta","Office Supplies","$1","$3","Consumer"
"508","Atlanta","Office Supplies","$2","$8","Consumer"
"509","Atlanta","Office Supplies","$12","$47","Consumer"
"510","Atlanta","Office Supplies","$3,177","$6,355","Consumer"
"511","Gladstone","Furniture","$40","$126","Consumer"
"512","Gladstone","Technology","$12","$38","Consumer"
"513","Newark","Office Supplies","$1","$7","Consumer"
"514","Los Angeles","Office Supplies","$2","$7","Consumer"
"515","Los Angeles","Office Supplies","$2","$6","Consumer"
"516","Great Falls","Technology","$1,380","$3,000","Home Office"
"517","Great Falls","Office Supplies","$14","$51","Home Office"
"518","Great Falls","Office Supplies","$5","$12","Home Office"
"519","Great Falls","Office Supplies","$56","$1,126","Home Office"
"520","Houston","Technology","$5","$18","Consumer"
