"","City","Category","Profit","Sales","Segment","Order Date","Ship Date"
"95","Minneapolis","Office Supplies","$16","$33","Consumer",2015-02-01,"42126"
"96","Portland","Office Supplies","-$4","$6","Home Office",2017-02-11,"43080"
"97","New York City","Furniture","$41","$97","Home Office",2017-02-11,"43050"
"98","San Francisco","Office Supplies","$18","$51","Consumer",2017-02-06,"6/20/2017"
"99","Saint Paul","Office Supplies","$23","$78","Corporate",2016-02-09,"42683"
"100","Chicago","Office Supplies","$23","$65","Home Office",2016-02-08,"42409"
"101","Chicago","Technology","-$11","$96","Home Office",2016-02-08,"42409"
"102","Chicago","Office Supplies","-$3","$2","Home Office",2016-02-08,"42409"
"103","Rochester","Office Supplies","$12","$24","Consumer",2016-02-12,"42472"
"104","Aurora","Technology","-$27","$239","Consumer",2015-02-11,"11/17/2015"
"105","Aurora","Furniture","-$4","$102","Consumer",2015-02-11,"11/17/2015"
"106","Aurora","Office Supplies","-$26","$37","Consumer",2015-02-11,"11/17/2015"
"107","Charlotte","Technology","$18","$74","Consumer",2017-02-11,"11/28/2017"
"108","Charlotte","Technology","$2","$28","Consumer",2017-02-11,"11/28/2017"
"109","Charlotte","Office Supplies","$1","$3","Consumer",2017-02-11,"11/28/2017"
"110","Orland Park","Technology","$68","$340","Home Office",2015-02-10,"10/20/2015"
"111","New York City","Furniture","$11","$42","Corporate",2017-02-12,"12/30/2017"
"112","Urbandale","Office Supplies","$23","$76","Consumer",2016-02-11,"42654"
"113","Urbandale","Office Supplies","$13","$27","Consumer",2016-02-11,"42654"
"114","Columbus","Office Supplies","$15","$40","Consumer",2014-02-08,"8/27/2014"
"115","Columbus","Office Supplies","$2","$5","Consumer",2014-02-08,"8/27/2014"
"116","Columbus","Office Supplies","$7","$24","Consumer",2014-02-08,"8/27/2014"
"117","Columbus","Office Supplies","$44","$130","Consumer",2014-02-08,"8/27/2014"
"118","Seattle","Furniture","$165","$788","Consumer",2015-02-03,"42158"
"119","Bristol","Office Supplies","-$116","$158","Corporate",2015-02-04,"42281"
"120","Wilmington","Furniture","$18","$47","Consumer",2016-02-06,"6/15/2016"
"121","Wilmington","Office Supplies","$14","$31","Consumer",2016-02-06,"6/15/2016"
"122","Wilmington","Office Supplies","$63","$227","Consumer",2016-02-06,"6/15/2016"
"123","Wilmington","Office Supplies","$52","$115","Consumer",2016-02-06,"6/15/2016"
"124","Wilmington","Technology","$20","$68","Consumer",2016-02-06,"6/15/2016"
"125","Houston","Furniture","-$9","$601","Home Office",2014-02-12,"12/28/2014"
"126","Bloomington","Furniture","-$408","$618","Consumer",2014-02-09,"9/25/2014"
"127","Phoenix","Office Supplies","-$2","$2","Consumer",2017-02-11,"43080"
"128","Phoenix","Office Supplies","$30","$244","Consumer",2017-02-11,"43080"
"129","Los Angeles","Furniture","-$9","$81","Home Office",2016-02-11,"42654"
"130","Los Angeles","Furniture","$26","$239","Home Office",2016-02-11,"42654"
"131","Columbus","Technology","-$12","$60","Corporate",2017-02-02,"42857"
"132","Columbus","Office Supplies","$29","$78","Corporate",2017-02-02,"42857"
"133","Columbus","Office Supplies","$7","$21","Corporate",2017-02-02,"42857"
"134","Roseville","Office Supplies","$10","$20","Consumer",2016-02-10,"10/19/2016"
"135","Roseville","Office Supplies","$17","$35","Consumer",2016-02-10,"10/19/2016"
"136","Roseville","Office Supplies","$3","$12","Consumer",2016-02-10,"10/19/2016"
"137","Roseville","Office Supplies","$2","$4","Consumer",2016-02-10,"10/19/2016"
"138","Roseville","Office Supplies","$27","$76","Consumer",2016-02-10,"10/19/2016"
"139","Roseville","Office Supplies","$18","$66","Consumer",2016-02-10,"10/19/2016"
"140","Roseville","Furniture","$21","$43","Consumer",2016-02-10,"10/19/2016"
"141","Philadelphia","Furniture","$10","$83","Corporate",2016-02-09,"42560"
"142","San Francisco","Office Supplies","$2","$9","Corporate",2017-02-09,"9/23/2017"
"143","San Francisco","Office Supplies","$5","$11","Corporate",2017-02-09,"9/23/2017"
"144","San Francisco","Office Supplies","$69","$144","Corporate",2017-02-09,"9/23/2017"
"145","Independence","Office Supplies","$218","$839","Consumer",2017-02-12,"12/27/2017"
"146","Pasadena","Office Supplies","$20","$672","Consumer",2015-02-09,"42347"
"147","Newark","Furniture","$13","$94","Home Office",2014-02-10,"10/28/2014"
"148","Franklin","Technology","$104","$384","Corporate",2016-02-12,"42625"
"149","Franklin","Technology","$6","$150","Corporate",2016-02-12,"42625"
"150","Franklin","Furniture","$586","$1,952","Corporate",2016-02-12,"42625"
"151","Franklin","Office Supplies","$81","$172","Corporate",2016-02-12,"42625"
"152","Scottsdale","Office Supplies","$18","$158","Home Office",2016-02-03,"3/16/2016"
"153","Scottsdale","Technology","$15","$203","Home Office",2016-02-03,"3/16/2016"
"154","San Jose","Office Supplies","$26","$58","Corporate",2015-02-05,"42041"
"155","San Jose","Office Supplies","$49","$106","Corporate",2015-02-05,"42041"
"156","San Jose","Office Supplies","$21","$81","Corporate",2015-02-05,"42041"
"157","Seattle","Office Supplies","$2","$7","Home Office",2015-02-05,"42069"
"158","Seattle","Furniture","$51","$458","Consumer",2014-02-03,"41793"
"159","Edmond","Office Supplies","$7","$15","Consumer",2016-02-11,"11/24/2016"
"160","Edmond","Technology","$236","$945","Consumer",2016-02-11,"11/24/2016"
"161","Los Angeles","Office Supplies","$3","$6","Consumer",2016-02-05,"42709"
"162","Philadelphia","Technology","$1","$54","Consumer",2015-02-12,"12/31/2015"
"163","Carlsbad","Office Supplies","$13","$28","Consumer",2016-02-11,"11/20/2016"
"164","Seattle","Office Supplies","$10","$28","Consumer",2016-02-11,"42685"
"165","San Antonio","Office Supplies","$3","$10","Consumer",2014-02-09,"41982"
"166","San Antonio","Technology","-$1,360","$8,160","Consumer",2014-02-09,"41982"
"167","San Antonio","Office Supplies","-$59","$276","Consumer",2014-02-09,"41982"
"168","San Antonio","Furniture","-$25","$1,740","Consumer",2014-02-09,"41982"
"169","San Antonio","Office Supplies","$7","$32","Consumer",2014-02-09,"41982"
"170","San Antonio","Office Supplies","-$454","$178","Consumer",2014-02-09,"41982"
"171","San Antonio","Technology","$9","$144","Consumer",2014-02-09,"41982"
"172","Los Angeles","Office Supplies","$10","$21","Consumer",2014-02-08,"41890"
"173","Los Angeles","Office Supplies","$53","$111","Consumer",2014-02-08,"41890"
"174","Los Angeles","Furniture","$21","$340","Consumer",2014-02-08,"41890"
"175","Chicago","Office Supplies","-$131","$52","Corporate",2014-02-09,"9/19/2014"
"176","Chicago","Office Supplies","$7","$20","Corporate",2014-02-09,"9/19/2014"
"177","Houston","Office Supplies","-$243","$97","Consumer",2017-02-04,"4/25/2017"
"178","Newark","Furniture","-$11","$397","Consumer",2015-02-11,"11/23/2015"
"179","Newark","Office Supplies","-$4","$16","Consumer",2015-02-11,"11/23/2015"
"180","New York City","Office Supplies","$1","$3","Home Office",2015-02-12,"12/19/2015"
"181","Decatur","Office Supplies","$2","$25","Corporate",2014-02-12,"41894"
"182","Decatur","Technology",NA,NA,NA,2014-02-12,NA
"183","Monroe","Technology","$131","$504","Home Office",2014-02-11,"11/24/2014"
"184","Monroe","Technology","$42","$150","Home Office",2014-02-11,"11/24/2014"
"185","Monroe","Technology","$7","$29","Home Office",2014-02-11,"11/24/2014"
"186","Fairfield","Office Supplies","$3","$7","Consumer",2016-02-11,"42412"
"187","Los Angeles","Technology","$23","$177","Home Office",2014-02-08,"8/30/2014"
"188","Grand Prairie","Office Supplies","$4","$37","Corporate",2016-02-07,"7/22/2016"
"189","Grand Prairie","Office Supplies","$6","$20","Corporate",2016-02-07,"7/22/2016"
"190","New York City","Furniture","$112","$899","Home Office",2015-02-10,"10/14/2015"
"191","New York City","Technology","$20","$72","Home Office",2015-02-10,"10/14/2015"
"192","New York City","Office Supplies","$25","$52","Home Office",2015-02-10,"10/14/2015"
"193","New York City","Furniture","$47","$626","Home Office",2015-02-10,"10/14/2015"
"194","New York City","Office Supplies","$7","$20","Home Office",2015-02-10,"10/14/2015"
"195","Redlands","Office Supplies","$7","$14","Corporate",2015-02-10,"42166"
"196","Hamilton","Office Supplies","$1","$7","Consumer",2014-02-03,"3/25/2014"
"197","Hamilton","Office Supplies","$2","$6","Consumer",2014-02-03,"3/25/2014"
"198","Westfield","Office Supplies","$12","$46","Home Office",2017-02-11,"11/13/2017"
"199","Philadelphia","Office Supplies","-$2","$3","Corporate",2017-02-07,"7/13/2017"
"200","Philadelphia","Office Supplies","$6","$16","Corporate",2017-02-07,"7/13/2017"
"201","Akron","Office Supplies","$7","$22","Consumer",2017-02-06,"6/29/2017"
"202","Denver","Furniture","-$162","$219","Consumer",2014-02-08,"41767"
"203","Denver","Office Supplies","$0","$3","Consumer",2014-02-08,"41767"
"204","Dallas","Office Supplies","-$179","$66","Consumer",2017-02-12,"12/21/2017"
"205","Franklin","Furniture","$10","$35","Corporate",2017-02-06,"42922"
"206","Whittier","Technology","$44","$445","Consumer",2017-02-12,"12/14/2017"
"207","Saginaw","Office Supplies","$6","$84","Consumer",2017-02-12,"42928"
"208","Saginaw","Technology","$36","$132","Consumer",2017-02-12,"42928"
"209","Saginaw","Office Supplies","$7","$16","Consumer",2017-02-12,"42928"
"210","Saginaw","Office Supplies","$16","$52","Consumer",2017-02-12,"42928"
"211","Saginaw","Office Supplies","$4","$92","Consumer",2017-02-12,"42928"
"212","Dallas","Technology","$7","$21","Corporate",2015-02-02,"2/13/2015"
"213","Medina","Office Supplies","$9","$24","Corporate",2015-02-01,"42248"
"214","Medina","Furniture","-$244","$452","Corporate",2015-02-01,"42248"
"215","Medina","Technology","-$15","$63","Corporate",2015-02-01,"42248"
"216","Medina","Technology","-$950","$1,188","Corporate",2015-02-01,"42248"
"217","Medina","Technology","$4","$90","Corporate",2015-02-01,"42248"
"218","Los Angeles","Office Supplies","$26","$93","Consumer",2016-02-10,"42380"
"219","Los Angeles","Technology","$23","$302","Consumer",2016-02-10,"42380"
"220","Dublin","Office Supplies","$2","$6","Consumer",2015-02-12,"12/27/2015"
"221","Dublin","Office Supplies","$8","$23","Consumer",2015-02-12,"12/27/2015"
"222","Dublin","Office Supplies","-$14","$20","Consumer",2015-02-12,"12/27/2015"
"223","Dublin","Furniture","$19","$73","Consumer",2015-02-12,"12/27/2015"
"224","Dublin","Technology","-$384","$480","Consumer",2015-02-12,"12/27/2015"
"225","Dublin","Office Supplies","$3","$27","Consumer",2015-02-12,"12/27/2015"
"226","Detroit","Office Supplies","$1","$2","Corporate",2015-02-08,"8/16/2015"
"227","Detroit","Furniture","$137","$622","Corporate",2015-02-08,"8/16/2015"
"228","Detroit","Office Supplies","$0","$22","Corporate",2015-02-08,"8/16/2015"
"229","Columbia","Furniture","-$28","$162","Consumer",2015-02-02,"42097"
"230","Columbia","Furniture","$44","$390","Consumer",2015-02-02,"42097"
"231","Charlotte","Office Supplies","-$12","$19","Corporate",2014-02-09,"9/17/2014"
"232","Tampa","Furniture","-$102","$234","Home Office",2017-02-04,"43073"
"233","Tampa","Furniture","-$248","$621","Home Office",2017-02-04,"43073"
"234","Tampa","Office Supplies","-$4","$5","Home Office",2017-02-04,"43073"
"235","Tampa","Furniture","$0","$258","Home Office",2017-02-04,"43073"
"236","Tampa","Technology","-$8","$618","Home Office",2017-02-04,"43073"
"237","Santa Clara","Office Supplies","$5","$11","Corporate",2017-02-11,"11/16/2017"
"238","Chicago","Office Supplies","$9","$26","Consumer",2016-02-06,"42619"
"239","Chicago","Furniture","-$357","$420","Consumer",2016-02-06,"42619"
"240","Chicago","Furniture","-$5","$12","Consumer",2016-02-06,"42619"
"241","Chicago","Technology","$11","$32","Consumer",2016-02-06,"42619"
"242","Chicago","Furniture","-$121","$177","Consumer",2016-02-06,"42619"
"243","Chicago","Furniture","-$3","$4","Consumer",2016-02-06,"42619"
"244","Chicago","Office Supplies","$1","$7","Consumer",2016-02-06,"42619"
"245","Lakeville","Furniture","$581","$2,002","Home Office",2014-02-06,"41796"
"246","Lakeville","Office Supplies","$42","$167","Home Office",2014-02-06,"41796"
"247","Lakeville","Office Supplies","$24","$48","Home Office",2014-02-06,"41796"
"248","Lakeville","Office Supplies","$496","$1,503","Home Office",2014-02-06,"41796"
"249","Lakeville","Office Supplies","$12","$26","Home Office",2014-02-06,"41796"
"250","San Francisco","Furniture","$28","$322","Consumer",2016-02-12,"12/15/2016"
"251","San Diego","Office Supplies","$4","$8","Consumer",2016-02-09,"9/17/2016"
"252","San Diego","Technology","$636","$3,347","Consumer",2016-02-09,"9/17/2016"
"253","New York City","Office Supplies","$23","$81","Consumer",2016-02-12,"12/13/2016"
"254","New York City","Office Supplies","$163","$362","Consumer",2016-02-12,"12/13/2016"
"255","Chicago","Furniture","-$8","$12","Corporate",2015-02-11,"42106"
"256","Chicago","Office Supplies","-$20","$82","Corporate",2015-02-11,"42106"
"257","Chicago","Office Supplies","$4","$54","Corporate",2015-02-11,"42106"
"258","Chicago","Technology","$57","$648","Corporate",2015-02-11,"42106"
"259","New York City","Technology","$7","$20","Consumer",2017-02-12,"42806"
"260","New York City","Office Supplies","$7","$222","Consumer",2017-02-12,"42806"
"261","New York City","Office Supplies","$6","$18","Consumer",2017-02-12,"42806"
"262","Pasadena","Office Supplies","-$4","$2","Corporate",2017-02-06,"43075"
"263","Houston","Technology","-$510","$3,060","Corporate",2014-02-09,"9/21/2014"
"264","Houston","Technology","-$252","$2,520","Corporate",2014-02-09,"9/21/2014"
"265","Chicago","Technology","$29","$328","Consumer",2016-02-06,"6/13/2016"
"266","Brentwood","Technology","$35","$80","Consumer",2015-02-11,"11/15/2015"
"267","Chapel Hill","Office Supplies","$5","$14","Corporate",2017-02-06,"6/20/2017"
"268","Morristown","Office Supplies","$0","$8","Consumer",2016-02-01,"1/28/2016"
"269","Cincinnati","Office Supplies","-$7","$37","Corporate",2017-02-12,"12/13/2017"
"270","Cincinnati","Office Supplies","$22","$58","Corporate",2017-02-12,"12/13/2017"
"271","San Francisco","Office Supplies","$210","$726","Corporate",2017-02-12,"43132"
"272","San Francisco","Technology","$92","$210","Consumer",2015-02-07,"7/31/2015"
"273","San Francisco","Furniture","$2","$5","Consumer",2015-02-07,"7/31/2015"
"274","San Francisco","Office Supplies","$4","$11","Consumer",2015-02-07,"7/31/2015"
"275","Inglewood","Office Supplies","$4","$9","Corporate",2017-02-09,"9/17/2017"
"276","Inglewood","Office Supplies","$2","$6","Corporate",2017-02-09,"9/17/2017"
"277","Philadelphia","Office Supplies","$4","$12","Corporate",2017-02-10,"10/17/2017"
"278","Philadelphia","Office Supplies","$6","$18","Corporate",2017-02-10,"10/17/2017"
"279","Philadelphia","Office Supplies","$6","$60","Corporate",2017-02-10,"10/17/2017"
"280","Philadelphia","Office Supplies","$9","$25","Corporate",2017-02-10,"10/17/2017"
"281","Houston","Office Supplies","-$3","$2","Consumer",2015-02-09,"9/28/2015"
"282","Houston","Technology","$376","$1,114","Consumer",2015-02-09,"9/28/2015"
"283","Los Angeles","Furniture","$52","$1,039","Consumer",2015-02-11,"42166"
"284","Portland","Office Supplies","$48","$142","Consumer",2015-02-09,"42045"
"285","Portland","Technology","$48","$240","Consumer",2015-02-09,"42045"
"286","Portland","Office Supplies","$11","$31","Consumer",2015-02-09,"42045"
"287","Tamarac","Office Supplies","-$169","$254","Corporate",2016-02-12,"12/20/2016"
"288","Tamarac","Office Supplies","$24","$195","Corporate",2016-02-12,"12/20/2016"
"289","Tamarac","Office Supplies","-$204","$961","Corporate",2016-02-12,"12/20/2016"
"290","Columbus","Office Supplies","$7","$19","Home Office",2016-02-11,"11/24/2016"
"291","Columbus","Office Supplies","$6","$18","Home Office",2016-02-11,"11/24/2016"
"292","Columbus","Technology","$54","$256","Home Office",2016-02-11,"11/24/2016"
"293","Columbus","Furniture","-$49","$87","Home Office",2016-02-11,"11/24/2016"
"294","Colorado Springs","Furniture","$79","$300","Corporate",2014-02-12,"12/28/2014"
"295","Colorado Springs","Furniture","$20","$230","Corporate",2014-02-12,"12/28/2014"
"296","Colorado Springs","Furniture","-$25","$218","Corporate",2014-02-12,"12/28/2014"
"297","Colorado Springs","Office Supplies","-$63","$79","Corporate",2014-02-12,"12/28/2014"
"298","Colorado Springs","Office Supplies","$9","$28","Corporate",2014-02-12,"12/28/2014"
"299","Belleville","Office Supplies","$16","$32","Corporate",2016-02-10,"42440"
"300","Belleville","Office Supplies","$11","$1,082","Corporate",2016-02-10,"42440"
"301","Belleville","Office Supplies","$27","$57","Corporate",2016-02-10,"42440"
"302","Belleville","Furniture","$38","$78","Corporate",2016-02-10,"42440"
"303","Belleville","Office Supplies","$7","$14","Corporate",2016-02-10,"42440"
"304","Chicago","Furniture","-$131","$219","Consumer",2017-02-11,"11/23/2017"
"305","New York City","Furniture","$13","$27","Corporate",2015-02-05,"42252"
"306","Taylor","Office Supplies","$3","$10","Corporate",2014-02-12,"42095"
"307","Lakewood","Office Supplies","$21","$45","Home Office",2014-02-06,"41796"
"308","Lakewood","Office Supplies","$84","$289","Home Office",2014-02-06,"41796"
"309","Arlington","Office Supplies","$2","$5","Consumer",2017-02-04,"4/17/2017"
"310","Arvada","Furniture","$4","$15","Corporate",2016-02-09,"9/14/2016"
"311","Arvada","Furniture","$53","$467","Corporate",2016-02-09,"9/14/2016"
"312","Arvada","Furniture","$2","$15","Corporate",2016-02-09,"9/14/2016"
"313","Arvada","Office Supplies","$2","$6","Corporate",2016-02-09,"9/14/2016"
"314","Hackensack","Furniture","$38","$88","Corporate",2014-02-09,"41708"
"315","Saint Petersburg","Technology","$22","$178","Corporate",2014-02-08,"8/16/2014"
"316","Saint Petersburg","Office Supplies","$5","$16","Corporate",2014-02-08,"8/16/2014"
"317","Philadelphia","Office Supplies","$9","$99","Corporate",2014-02-12,"12/30/2014"
"318","New York City","Furniture","$24","$136","Home Office",2014-02-11,"41893"
"319","New York City","Technology","$1,996","$3,992","Home Office",2014-02-11,"41893"
"320","New York City","Technology","$80","$276","Home Office",2014-02-11,"41893"
"321","New York City","Technology","$130","$360","Home Office",2014-02-11,"41893"
"322","New York City","Office Supplies","$13","$44","Home Office",2014-02-11,"41893"
"323","Long Beach","Office Supplies","$4","$7","Corporate",2014-02-09,"9/24/2014"
"324","Hesperia","Office Supplies","$82","$252","Corporate",2016-02-04,"4/27/2016"
"325","Hesperia","Technology","$35","$100","Corporate",2016-02-04,"4/27/2016"
"326","Murfreesboro","Furniture","$1","$16","Corporate",2017-02-11,"42866"
"327","Philadelphia","Technology","-$68","$291","Consumer",2016-02-08,"42378"
"328","Philadelphia","Office Supplies","$3","$54","Consumer",2016-02-08,"42378"
"329","Philadelphia","Furniture","-$259","$787","Consumer",2016-02-08,"42378"
"330","Philadelphia","Office Supplies","$34","$100","Consumer",2016-02-08,"42378"
"331","Philadelphia","Office Supplies","-$28","$38","Consumer",2016-02-08,"42378"
"332","Philadelphia","Technology","-$21","$83","Consumer",2016-02-04,"4/29/2016"
"333","Philadelphia","Office Supplies","-$14","$21","Consumer",2016-02-04,"4/29/2016"
"334","Philadelphia","Office Supplies","-$3","$5","Consumer",2016-02-04,"4/29/2016"
"335","Los Angeles","Office Supplies","$2","$5","Consumer",2015-02-09,"42103"
"336","Los Angeles","Technology","$336","$960","Consumer",2015-02-09,"42103"
"337","Los Angeles","Office Supplies","$4","$14","Consumer",2015-02-09,"42103"
"338","San Francisco","Office Supplies","$3","$8","Corporate",2014-02-07,"7/17/2014"
"339","San Francisco","Furniture","-$17","$698","Corporate",2014-02-07,"7/17/2014"
"340","Layton","Office Supplies","$2","$5","Consumer",2015-02-06,"6/26/2015"
"341","Philadelphia","Office Supplies","$1","$18","Corporate",2014-02-04,"4/17/2014"
"342","Philadelphia","Office Supplies","-$408","$510","Corporate",2014-02-04,"4/17/2014"
"343","Philadelphia","Office Supplies","$10","$31","Corporate",2014-02-04,"4/17/2014"
"344","Philadelphia","Technology","$8","$72","Corporate",2014-02-04,"4/17/2014"
"345","Austin","Office Supplies","-$2","$89","Consumer",2015-02-12,"12/24/2015"
"346","San Francisco","Technology","$5","$48","Consumer",2017-02-06,"6/19/2017"
